Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,San Antonio Spurs,30.2,53,9,12.50,-1.36,11.14,110.8,97.6,94.5,.239,.223,.570,.535,12.8,22.8,.191,.471,14.0,79.8,.181,AT&T Center,552853
2,Golden State Warriors,27.5,48,12,11.25,-0.50,10.75,114.4,103.2,99.9,.260,.352,.592,.561,13.5,23.8,.196,.477,12.9,75.9,.206,Oracle Arena,509496
3,Oklahoma City Thunder,25.8,44,18,6.76,-0.54,6.22,112.8,105.9,96.7,.287,.265,.565,.523,13.8,30.4,.227,.487,11.8,75.8,.200,Chesapeake Energy Arena,600699
4,Cleveland Cavaliers,28.2,43,18,6.16,-0.31,5.86,110.0,103.4,93.1,.263,.336,.552,.518,12.6,25.2,.194,.491,12.8,78.5,.205,Quicken Loans Arena,657984
5,Los Angeles Clippers,29.7,40,21,4.49,-0.30,4.20,107.9,103.3,96.3,.321,.319,.552,.519,12.1,20.8,.222,.481,13.9,74.8,.225,STAPLES Center,613802
6,Toronto Raptors,26.5,39,21,4.52,-0.55,3.97,110.0,105.1,93.0,.331,.283,.553,.504,12.4,24.5,.259,.499,13.2,77.6,.205,Air Canada Centre,575263
7,Boston Celtics,25.3,41,23,4.06,-0.51,3.56,106.9,102.8,98.6,.256,.296,.531,.490,12.2,25.1,.202,.482,14.7,74.6,.241,TD Garden,582294
8,Atlanta Hawks,28.1,38,25,3.02,-0.27,2.75,105.0,101.9,96.8,.239,.327,.552,.516,14.1,19.7,.188,.484,14.8,74.4,.195,Philips Arena,518596
9,Charlotte Hornets,25.8,34,27,1.82,0.03,1.85,105.8,103.9,95.5,.283,.348,.539,.495,12.1,20.4,.223,.495,12.6,79.7,.190,Time Warner Cable Arena,522837
10,Indiana Pacers,27.0,35,28,1.67,0.12,1.78,104.3,102.6,96.9,.272,.269,.533,.494,13.4,23.8,.205,.490,14.4,75.8,.204,Bankers Life Fieldhouse,484247
11,Miami Heat,28.4,33,29,0.95,0.11,1.06,104.0,103.0,93.5,.290,.225,.538,.499,13.6,22.9,.214,.481,12.0,78.7,.186,AmericanAirlines Arena,630975
12,Portland Trail Blazers,24.3,34,29,1.13,-0.23,0.90,108.1,106.9,95.4,.259,.331,.543,.510,13.3,26.3,.189,.497,12.1,76.6,.232,Moda Center,598799
13,Utah Jazz,24.2,33,29,0.73,0.11,0.83,106.0,105.2,91.0,.297,.285,.537,.496,14.0,26.2,.223,.496,13.5,76.6,.229,Vivint Smart Home Arena,594665
14,Detroit Pistons,25.0,33,29,0.81,-0.13,0.68,105.2,104.4,95.2,.291,.302,.515,.487,12.2,27.2,.188,.501,13.2,78.7,.200,The Palace of Auburn Hills,471824
15,Dallas Mavericks,30.3,31,31,0.03,-0.19,-0.16,106.6,106.6,94.3,.272,.334,.544,.502,11.9,20.3,.215,.501,12.8,75.9,.195,American Airlines Center,643225
16,Memphis Grizzlies,30.9,30,31,-0.26,-0.39,-0.65,105.6,105.9,93.0,.310,.224,.534,.484,12.4,22.9,.246,.506,15.4,75.0,.246,FedEx Forum,545456
17,Chicago Bulls,27.8,28,33,-1.10,0.16,-0.94,103.7,104.8,96.5,.244,.233,.519,.479,12.6,24.7,.191,.476,10.6,75.1,.182,United Center,676311
18,Houston Rockets,27.8,28,34,-1.47,0.26,-1.21,106.9,108.4,97.7,.365,.379,.549,.509,14.5,24.8,.256,.520,14.9,73.2,.221,Toyota Center,554505
19,Washington Wizards,27.4,27,35,-1.69,0.42,-1.27,104.6,106.4,98.1,.265,.284,.541,.506,13.1,20.1,.196,.518,14.7,77.1,.214,Verizon Center,574877
20,Orlando Magic,23.8,27,34,-1.54,-0.15,-1.69,103.9,105.5,95.4,.223,.259,.527,.493,13.2,23.7,.172,.507,13.9,77.5,.214,Amway Center,577039
21,Sacramento Kings,26.7,26,35,-2.49,0.66,-1.83,105.9,108.3,100.0,.299,.261,.546,.510,14.5,24.4,.215,.522,13.9,75.9,.202,Sleep Train Arena,518102
22,New York Knicks,27.2,26,38,-2.55,0.21,-2.34,105.1,107.8,93.4,.263,.252,.527,.482,12.4,23.9,.213,.487,10.6,75.4,.212,Madison Square Garden (IV),673608
23,Denver Nuggets,25.2,25,37,-3.02,0.43,-2.59,105.1,108.2,95.6,.291,.276,.529,.485,13.4,26.0,.223,.515,12.9,77.6,.216,Pepsi Center,438731
24,New Orleans Pelicans,26.4,24,37,-3.08,0.47,-2.61,105.4,108.6,96.6,.250,.281,.535,.496,12.1,20.9,.195,.518,12.8,78.2,.217,Smoothie King Center,517925
25,Milwaukee Bucks,23.7,23,39,-3.90,0.26,-3.65,104.3,108.4,94.4,.280,.192,.538,.499,14.4,25.1,.211,.506,14.0,72.6,.230,BMO Harris Bradley Center,439391
26,Minnesota Timberwolves,25.1,23,40,-3.94,-0.11,-4.04,106.1,110.2,94.9,.339,.192,.545,.492,13.9,25.1,.269,.522,13.2,75.6,.211,Target Center,451406
27,Phoenix Suns,26.0,17,45,-7.06,0.87,-6.19,102.1,109.2,98.2,.272,.294,.528,.489,15.1,24.1,.205,.527,13.9,76.5,.239,Talking Stick Resort Arena,544739
28,Brooklyn Nets,27.5,18,45,-6.60,0.41,-6.20,102.6,109.5,94.8,.242,.211,.526,.491,13.8,23.8,.184,.527,13.2,75.9,.176,Barclays Center,492746
29,Los Angeles Lakers,26.5,13,50,-9.71,0.70,-9.01,101.9,112.1,95.5,.297,.295,.509,.462,12.5,23.3,.228,.522,11.4,74.4,.206,STAPLES Center,531916
30,Philadelphia 76ers,22.9,12,50,-10.71,0.38,-10.33,97.9,108.8,97.9,.274,.311,.521,.489,15.9,21.0,.188,.508,13.6,74.4,.245,The Center,446166
,League Average,26.8,31,31,0.00,0.00,0.00,105.9,105.9,95.8,.279,.281,.540,.500,13.3,23.8,.211,.500,13.3,76.2,.211,,551349