Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Golden State Warriors,60,14550,2561,5253,.488,771,1849,.417,1790,3404,.526,1032,1364,.757,610,2166,2776,1747,513,359,911,1251,6925,115.4
2,Oklahoma City Thunder,62,15005,2552,5364,.476,503,1423,.353,2049,3941,.520,1216,1542,.789,792,2178,2970,1405,453,384,965,1271,6823,110.0
3,Sacramento Kings,61,14765,2443,5276,.463,494,1379,.358,1949,3897,.500,1135,1576,.720,660,2084,2744,1517,534,273,1010,1256,6515,106.8
4,Boston Celtics,64,15460,2532,5743,.441,567,1702,.333,1965,4041,.486,1158,1470,.788,743,2141,2884,1571,607,273,887,1428,6789,106.1
5,Houston Rockets,62,15030,2279,5130,.444,669,1942,.344,1610,3188,.505,1312,1873,.700,682,1963,2645,1342,636,311,1013,1371,6539,105.5
6,Los Angeles Clippers,61,14765,2340,5071,.461,585,1617,.362,1755,3454,.508,1128,1629,.692,564,2049,2613,1383,507,335,800,1310,6393,104.8
7,San Antonio Spurs,62,14880,2528,5150,.491,453,1149,.394,2075,4001,.519,983,1230,.799,566,2185,2751,1558,498,370,835,1096,6492,104.7
8,Portland Trail Blazers,63,15195,2429,5401,.450,648,1786,.363,1781,3615,.493,1023,1397,.732,738,2146,2884,1331,425,277,920,1383,6529,103.6
9,Cleveland Cavaliers,61,14765,2343,5114,.458,617,1717,.359,1726,3397,.508,994,1347,.738,655,2074,2729,1367,417,220,820,1249,6297,103.2
10,Toronto Raptors,60,14450,2195,4860,.452,505,1374,.368,1690,3486,.485,1261,1609,.784,607,1971,2578,1103,479,306,791,1186,6156,102.6
11,Washington Wizards,62,14880,2399,5265,.456,531,1495,.355,1868,3770,.495,1034,1395,.741,547,1990,2537,1476,535,251,888,1276,6363,102.6
12,Dallas Mavericks,62,15155,2315,5214,.444,600,1742,.344,1715,3472,.494,1122,1420,.790,559,2106,2665,1358,426,216,790,1203,6352,102.5
13,Atlanta Hawks,63,15245,2429,5291,.459,601,1732,.347,1828,3559,.514,993,1262,.787,532,2100,2632,1614,589,354,956,1203,6452,102.4
14,New Orleans Pelicans,61,14715,2343,5255,.446,528,1476,.358,1815,3779,.480,1027,1315,.781,574,2011,2585,1336,473,284,802,1272,6241,102.3
15,Charlotte Hornets,61,14815,2229,5142,.433,633,1788,.354,1596,3354,.476,1148,1456,.788,560,2129,2689,1293,436,323,797,1132,6239,102.3
16,Indiana Pacers,63,15295,2413,5397,.447,506,1452,.348,1907,3945,.483,1108,1467,.755,669,2120,2789,1297,570,301,939,1261,6440,102.2
17,Chicago Bulls,61,14865,2357,5395,.437,458,1255,.365,1899,4140,.459,1028,1318,.780,693,2214,2907,1362,362,343,861,1183,6200,101.6
18,Minnesota Timberwolves,63,15245,2349,5104,.460,326,981,.332,2023,4123,.491,1372,1728,.794,655,1999,2654,1430,473,290,947,1349,6396,101.5
19,Detroit Pistons,62,15055,2355,5402,.436,555,1632,.340,1800,3770,.477,1016,1571,.647,789,2077,2866,1164,457,223,843,1198,6281,101.3
20,Denver Nuggets,62,15005,2311,5263,.439,488,1453,.336,1823,3810,.478,1173,1529,.767,715,2053,2768,1386,461,280,918,1294,6283,101.3
21,Orlando Magic,61,14865,2373,5304,.447,483,1375,.351,1890,3929,.481,910,1182,.770,650,2049,2699,1420,497,301,886,1256,6139,100.6
22,Phoenix Suns,62,14905,2297,5267,.436,554,1551,.357,1743,3716,.469,1078,1435,.751,670,2021,2691,1262,496,242,1047,1407,6226,100.4
23,Milwaukee Bucks,62,15005,2369,5096,.465,347,979,.354,2022,4117,.491,1075,1427,.753,653,1949,2602,1428,495,356,966,1337,6160,99.4
24,Memphis Grizzlies,61,14765,2223,4978,.447,374,1114,.336,1849,3864,.479,1223,1543,.793,594,1892,2486,1286,533,267,798,1316,6043,99.1
25,New York Knicks,64,15485,2365,5382,.439,458,1357,.338,1907,4025,.474,1146,1417,.809,667,2150,2817,1284,367,355,850,1300,6334,99.0
26,Miami Heat,62,14980,2317,5005,.463,362,1124,.322,1955,3881,.504,1072,1449,.740,591,2167,2758,1276,401,409,886,1114,6068,97.9
27,Utah Jazz,62,15105,2228,4995,.446,499,1422,.351,1729,3573,.484,1115,1486,.750,676,1981,2657,1155,476,330,920,1316,6070,97.9
28,Brooklyn Nets,63,15195,2398,5287,.454,391,1113,.351,2007,4174,.481,971,1279,.759,654,2028,2682,1388,472,249,940,1126,6158,97.7
29,Los Angeles Lakers,63,15145,2210,5331,.415,505,1572,.321,1705,3759,.454,1217,1583,.769,677,2022,2699,1142,443,268,861,1267,6142,97.5
30,Philadelphia 76ers,62,14980,2242,5129,.437,534,1595,.335,1708,3534,.483,966,1405,.688,580,1980,2560,1290,524,396,1086,1376,5984,96.5
,League Average,62,14986,2357,5229,.451,518,1472,.352,1839,3757,.490,1101,1457,.756,644,2067,2711,1366,485,305,898,1266,6334,102.3